equivalence_class,total_docs
acid,1
action,4
addition,3
advantage,2
advice,1
agent,2
agitation,1
aid,1
air,3
albumin,1
allium,1
almonds,2
altitude,2
altitudes,1
aluminum,1
amazon lists,1
amount,7
amounts,1
analogy,1
anything,2
appearance,2
applewood,1
application,1
area,1
aromatics,1
arrowroot,2
artichoke,1
aspect,1
attach,1
attributes,1
bacon,1
bacterium,1
bag,1
bain-marie,1
baked-goods,1
baking,2
baking causes,1
baking soda,1
baking technique,1
barbecue,2
barbecue grills,1
barbecue sauce,1
barbecuing,1
bark,1
base,2
basket,1
baste,3
basted,1
baster,3
basting,1
batch,1
batter,1
bay,1
beans,2
beef,3
beef stew,1
beef stock,1
beer,2
beets,1
bengal potatoes mussels,1
beurre manié,1
beverage,1
biodiesel,1
bird,1
bit,2
bits,1
bitterness,1
blanch vegetables,2
blanched,3
blanching,2
blender,1
boiled water,1
boiler,1
boiling,1
boilingpoint,1
boilover,1
bolognese meat sauce,1
boneless,1
bottle,1
bottom,9
botulism,1
botulism toxin,1
braising,1
bread,3
bread sticks,1
bread-wrapped,1
breading,1
breading sticks,1
breakdown,1
breaks,1
breast,1
brew tea,1
briefly,1
brine,1
brine solution,1
british,1
british english usage,1
broccoli,1
broiling,1
broth,2
browning browning,1
browns,1
bubbles,2
bubbles increase,1
burner,1
burning-wood,1
burns,2
butter,5
buttermilk,1
cabbage,1
cake,3
candy bars,1
canning,2
caps,1
car,1
caramelization,2
carbohydrate part,1
care,1
carrots,1
case,5
cast iron,1
cast iron pan,1
cause,1
causes,2
causes foods,2
caution,1
celery,1
cellulose,1
center,1
centre,1
cereals,1
certain classes,1
certain vegetables,2
chance,2
change,2
change oil,1
changes,1
charcoal,2
charcoal fires,1
charcoal grill,1
chaunk,1
check,1
cheese,1
cheese sandwich,1
chemical,1
cherry —,1
cherry wood,1
chicken,3
chicken breasts,1
chicken isn,1
chicken taste,1
children,1
chilies,1
chip pan,1
chip pan fire,1
chip pans,1
chips,1
chips vegetables,1
choice,3
chopsticks,1
chrome,1
chunks,1
cinnamon,1
class f,1
class k,1
clay,1
clay pot,1
clay pot cooking,1
clostridium botulinum,1
cloth,1
clothes,1
coals,1
coat,1
coating,3
coconut oil,1
coffee beans,1
cold smoking,1
color,5
combination,3
complement,1
completion,1
component,1
components,1
compounds,1
condensation,1
conditions,4
conduction,1
consistency,1
construction limits,1
contact,4
container,3
content,2
contrast textures,1
control,2
convection,1
cook,13
cook custard,1
cook foods,2
cook light-flavored food,1
cook meat,1
cook steak,1
cooker,1
cookery,1
cooking,17
cooking chicken,1
cooking cycle,1
cooking eggs,1
cooking food,4
cooking food doesn,1
cooking foods,1
cooking method,5
cooking mistake,1
cooking oil,2
cooking oil fire,1
cooking oil fires,1
cooking oil recycling,1
cooking period,1
cooking process,6
cooking properties,1
cooking results,1
cooking technique,4
cooking time,1
cooking times,2
cooking utensil,1
cooking vessel,1
cooks,4
cooktop,1
cooled oil,1
cornerstone,1
cornflour,1
cornstarch,2
cost,1
counter,1
countertop,1
countries,1
course,2
crab cakes fat,1
crack egg,1
crisco,1
crisps,1
croquettes,1
croutons,1
crumb,1
crusting,1
cultures,1
cup,2
curdle,1
cushion,1
custards,1
cuts,2
dampers,1
dangers,1
days,1
decreases,1
deep,2
deep-fat,1
deep-frying,2
deep-frying parsley,1
deglaze,2
degree,2
delicate foods,1
demi-glace,1
denim,1
denser,1
detergents,1
device,2
diet,1
difference,1
different,1
dill,1
dipping sauce,1
directions,1
disaster,1
discard,1
discolour,1
dish,4
disposal,1
dispose,1
distance,1
distribution,1
doing,1
dolbier,1
don,1
doneness,2
door,1
double-boiler,1
double-sided frying,1
double-walled oven pot,1
dough,1
drain,1
drawer,1
dress,1
drier,1
drink alcohol,1
drinks,1
drinks-wise,1
drip,1
drippings,1
drizzle,2
drop,2
dry,1
dry food,1
dumplings,1
east asia,1
economy,1
edge,3
edges,1
eel,1
effect,6
effects boiling,1
effort,1
efforts,1
egg,5
egg beater,1
egg protein,1
egg roll recipe,1
egg rolls,1
egg wash,2
elbows,1
element,3
ember fire,1
empanadas,1
end,7
end product,1
end restaurants,1
energy,1
english equivalent,1
environment,1
enzyme action,2
enzymes,1
europe,1
european ovens,1
evaporation,3
event,1
everything,1
example,5
example recipes,1
experience,1
extinguisher,1
extracts,1
factor,1
factors,1
fall,1
familiarizing,1
fats,1
feature,1
features,1
fiber,2
fight,1
filets,1
filter,1
filter oil,1
fingertips vaporise,1
fire,5
fire blanket,1
fire brigade,1
fire department,1
fire extinguisher,1
fire extinguishers,1
fire point,1
fire smoke,1
fire smoking woods,1
fireball,1
fires,2
firm,1
fish,6
fish bay,1
fish brine,1
fish recipe,1
flame heat source,1
flames,2
flare ups,1
flavor,11
flavorings,1
flavors,5
flavoured,1
flavoured liquor,1
flavouring,1
flavoursome liquor,1
flour,2
food,18
food bits,1
food briefly,2
food cook,1
food residue,1
food substances,1
foods flavor,1
form,8
foundation,1
fowl,2
fowl hickory —,1
fowl pecan —,1
french,3
french clay pot,1
french term,1
french word,1
frenchman,1
frequent,1
fridge,1
fries,1
frisonne,1
fritters,1
fruit,1
fruit juices,1
fruits,3
fruitwoods,1
fry,1
fry ingredients,1
fry potatoes,1
fryer,1
frying,2
fuel,3
full salt brines,1
furnace duct,1
gallon,1
garlic,2
garnish,1
gas,3
gas flame,1
gas ovens,1
gas range,1
gas works,1
gauge,1
gelatin,1
general cooking advice,1
germs,1
glass,2
globe,1
glow,1
gold,1
good,1
grade,1
grape —,1
gravies,1
grill,2
grill bars,1
grilling,2
grilling cooks,1
growth,1
guidelines,1
ham,1
ham mesquite —,1
hams,1
hand,2
handling,1
hands,1
hardwoods,1
hazard,1
health purposes,1
heat,13
heat cooking,1
heat source,2
heat sources,1
heat sources gas,1
heating,1
heating element,1
heating element cooks,1
heavy-bottomed,1
heavy-flavored foods,1
herbs,3
hickory,1
high-heat baking,1
high-heat cooking process,1
history,1
hole,3
holiday,1
hot dogs,1
hotplate,1
hour,1
hours,2
house,1
house fires,1
humidity,1
ice crystals,1
ice water,1
igniting,1
immersing,1
immersing food,1
immersion,1
immersion cooker,1
immersion cooker temperature,1
immersion cooking,1
increase,2
indian dishes,1
indian usage,1
indirect heat,1
influence,1
infra-red,1
infra-red heat radiation,1
infra-red radiation,1
infra-red radiation works,1
infra-red waves,1
ingredient,3
ingredients,5
instance,1
instances meats,1
instant,1
insure,1
integral part,1
interchangeably,1
introduction,1
isn,1
issues,1
item,1
items need,1
japan forks,1
japanese oil solidifier,1
jar,2
jars,1
jelly roll pan,1
joints,1
juice,2
juices,1
jus,1
kettle,1
kind,1
kindling point,1
kitchen,3
kitchen fires,1
kitchen paper,1
lake trout,1
lamb,1
lard,1
layer,1
leached,1
least,1
lemon,1
length,1
liberates,1
lid,6
light,2
light bulb,1
light ones,1
lint,1
locations,1
loss,4
low-heat cooking process,1
maillard reaction,3
majority,1
manipulation,1
many,1
many pathogens,1
many recipes,1
many variations,1
maple,1
margarine,1
marinade,2
marinated meats,1
marlin,1
material,1
materials smoker,1
matrix,1
mayonnaise,1
measure oil,1
measures,1
meat,12
meat doesn,1
meat juices,1
meat returns,1
meat stock,1
meats,6
meats peach —,1
mechanics,1
mechanism,1
medium,2
medium heat,1
medium-high,1
medium-high heat,1
mediums,1
melting-point alloy,1
membrane,1
mesquite,1
metal,1
metal mesh,1
metal pan,1
metal range hood,1
metal tubing,1
metal utensils,1
method,12
method deep,1
method works,1
microwave,2
microwave radiation,1
middle,2
milk,2
milk containers,1
milk products,1
milk proteins,1
minced mixtures,1
mind,1
mineral salts,1
minute,4
misconceptions,1
mise,1
misnomer,1
mix,2
modernist,1
modification,1
moistness,1
moisture,5
moisture content,1
molasses,1
monitor,1
months,1
move,1
moves gently--never,1
mushrooms grill,1
muslin,1
napkins,1
need,2
next time,1
non-deep,1
non-stick,2
none,1
noodles,1
not,1
number,2
nutmeg,1
nutrients,1
nuts,1
oak,1
object,2
odor,2
oil,10
oil cause splatters,1
oil changes,1
oil content,1
oil coverage,1
oil disposal,1
oil ejects,1
oil fire,1
old timers,1
ones form,1
onion,3
onion family,1
operation,1
optionally,1
optionally pepper,1
order,3
other meanings,1
other sealing methods,1
others,1
others claim,1
outcome,2
oven,8
oven temperature,2
oven-proof pots,1
over-cooking,1
over-filled,1
overcrowding,1
oysters poultry,1
pair,1
pan,12
pan bottom,2
pan deep fryers,1
pan drippings,1
pan sauce,2
pan-searing,1
paper salt,1
paper towel,1
parboiling,3
parsley,1
part,1
parts,4
pasteurization,1
pastries,1
pat,1
path,1
peak times,1
peanut oil,1
peas,1
pellicles form,1
pellicles formation,1
people,1
pepper,1
peppermint,1
performance,1
period,3
person,2
piece,1
pieces,5
pieces briefly,1
pilot,1
pin,2
pipe,1
pipes,1
place,5
place egg,1
plastic,1
plastic bag,1
plate,1
plug,1
poaching,1
point,4
point increases,1
points,1
pollo baked lamb,1
pork,1
pork ribs,1
portions,1
position,1
pot,5
potatoes,3
poultry,2
poultry cedar,1
powder,1
pre-cooking,1
pre-cut,1
pre-heat,1
preference,1
preheat,1
preheated,1
preparations,1
prepare,1
preservation qualities,1
pressure,2
pressure cooker,1
pressure cooking,1
pressure increases,1
price points,1
principle,2
procedure,1
process,8
process smoking,1
product,4
products,1
propane,1
propane fires,1
proper technique,1
protein,1
proteins refold,1
pudding mixtures,1
pungency,1
purpose,4
purposes,2
pushpin,1
quality,2
quality thermometer,1
quantity,4
question,1
rack,1
racks,1
radiation,1
range,2
ranges,2
rapidity,1
rate,2
rays spread,1
reason,2
reason syrups,1
reboiling,1
recipe,10
reduction,1
refridgerate,1
refrigerate,1
refrigerating,1
refrigeration,2
refrigerator,1
release,1
release mechanism,1
release steam,1
releases,1
relevent cooking chemistry,1
requirement,1
residue,1
rest,2
restaurant,1
result,8
results,3
return,2
rice,1
rice bran oil,1
right temperature,1
rinse,1
rise,3
roast,2
roast potatoes,1
roasted foods,1
roasting,4
roasting environment,1
roasting temperature,1
roasts,2
roman times,1
room radiator,1
rosemary,1
round ones,1
roux,1
rub,1
rubber ring seal,1
rubber seal,1
rule,2
safety,3
safety chip pans,1
salad,1
salt,5
samosas dough,1
sampling,1
sandwich cooking device,1
sanitation,1
saris,1
sauce,5
sauce whisking,1
saucepan,1
sauces,1
saute,4
scalding,1
scallops,1
scoop,3
scorch,1
scorched milk,1
scrape,1
scrubbing,1
scum,1
sea level,1
seafood,1
seal,1
sealing,1
sealing food,1
seasoning,1
seasoning flavor,1
seaweed — sharp,1
seconds,1
sectioned steaks,1
self basting process,1
sense,1
service,1
sesame,1
sewers problems,1
shallots,1
shape,2
shelf life,1
shell,1
shelving,1
shirring,1
shirt,1
shirts,1
shrimp,1
side,3
sides,2
simmering,1
simulation,1
situations,1
size,2
skillet,1
skin,3
skins,2
slice,1
slices,1
slope-sided pan,1
smell,1
smoke point,1
smokey fire,1
smoking,3
smoking point,1
soaps,1
solids,1
solution,1
something,2
soogy foods,1
sort,1
sound,1
soup,1
source,1
sous-vide,1
soy sauce,1
space,1
spatters,1
speed,1
spices,4
spider,1
spirits,1
spit-roasting,1
splash,1
splatter,1
spoon,4
spots,1
spring,1
square bumps,1
squid,1
stacks,1
stage,3
starch,2
steak,1
steak condition,1
steaks,2
steam,8
steam pressure,1
steamer,1
steel,1
steel container,1
step,3
stew,1
stewing,2
stewing meats,1
stewing vessel,1
stews,1
stir-fried,2
stir-frying,2
stir-frying sautéing,1
stock,3
stopper,1
storage,2
stove,2
streamers,1
style barbecue,1
substances,2
such,1
suckers,1
sugar,4
suggestions,1
summer,1
sun,1
sunlight,1
surface,5
surface evaporation,1
surfaces,1
suspension,1
sweetbread,1
sweeteners,1
system,1
table,1
tadka,1
tadka dhal,1
tannic,1
task,1
taste,4
tea,1
tea bag,1
tea strainer,1
technique,5
temperature,16
tempura,1
tendency,2
tender,5
term,5
texture,3
thaw,1
thermometer,4
thickness,2
thing,1
threat,1
thumb,1
tight-fitting,1
time,12
timing,2
tip,1
tips,5
tissue,1
tissues,1
toast,1
tomatoes,3
tongs,1
tool,4
tortilla chips,1
touch,2
tough cuts,1
tough vegetables,1
trade,1
transfer heat,1
tray,1
tree,1
trivet,1
trust,1
turkey,1
turkey fryer,1
turnips,1
twinkies,1
type,2
types,4
uk,1
un-rested meat,1
uncooked side,1
under-cooked,1
unglazed clay pot,1
unit,1
united states,2
use,13
use cornmeal,1
use steel,1
use utensils,1
use water,1
usefulness,1
utensil,1
utilize draft control,1
vaccum,1
vaccum sealing,1
value,2
vaporizes,1
variation,3
variety,2
veal escalopes,1
vegetable,11
vegetables,1
veloute sauce,1
versions,1
vessel,3
vin eggplant,1
vinegar,1
waffle iron,1
walls,2
warning,2
wash,1
wastes fuel,1
watch,1
water,14
water bath,1
water briefly,1
water container,1
water heater,1
water hisses,1
water oven,1
water treatment plants,1
way,9
weather,1
web sites,1
wedge,1
week,1
whey separation,1
whisk,1
wine,5
winter,1
wire,1
wok,1
wood,2
word,1
work,3
world,1
yogurt,4