equivalence_class,Occurrence,Word count
acid,1,2
action,4,4
addition,5,3
advantage,2,2
advice,3,1
agent,2,2
agitation,1,1
aid,1,1
air,4,3
albumin,1,1
allium,1,1
almonds,2,2
altitude,2,2
altitudes,1,1
aluminum,1,1
amazon lists,1,2
amount,9,7
amounts,1,1
analogy,1,1
anything,2,2
appearance,2,2
applewood,1,1
application,1,1
area,3,2
aromatics,1,1
arrowroot,2,2
artichoke,1,1
aspect,1,1
attach,1,1
attributes,1,1
bacon,1,1
bacterium,1,1
bag,1,1
bain-marie,4,1
baked-goods,1,1
baking,6,4
baking causes,1,2
baking soda,1,2
baking technique,1,2
barbecue,9,6
barbecue grills,1,2
barbecue sauce,2,2
barbecuing,4,2
bark,2,1
base,3,2
basket,1,1
baste,3,3
basted,1,1
baster,3,3
basting,2,1
batch,1,1
batter,5,1
bay,1,1
beans,2,2
beef,4,3
beef stew,1,2
beef stock,1,2
beer,3,2
beets,1,1
bengal potatoes mussels,1,3
beurre manié,1,2
beverage,1,1
biodiesel,1,1
bird,4,1
bit,3,2
bits,2,1
bitterness,1,1
blanch vegetables,2,4
blanched,5,3
blanching,6,2
blender,1,1
boiled water,1,2
boiler,1,1
boiling,1,1
boilingpoint,1,1
boilover,1,1
bolognese meat sauce,1,3
boneless,1,1
bottle,1,1
bottom,13,9
botulism,2,2
botulism toxin,1,2
braising,1,1
bread,4,3
bread sticks,1,2
bread-wrapped,1,1
breading,7,2
breading sticks,1,2
breakdown,1,1
breaks,1,1
breast,6,2
brew tea,1,2
briefly,1,1
brine,3,1
brine solution,2,2
british,1,1
british english usage,1,3
broccoli,1,1
broiling,1,1
broth,2,2
browning browning,1,2
browns,1,1
bubbles,3,2
bubbles increase,1,2
burner,2,1
burning-wood,1,1
burns,6,2
butter,8,5
buttermilk,1,1
cabbage,1,1
cake,3,3
candy bars,1,2
canning,2,2
caps,1,1
car,2,1
caramelization,2,2
carbohydrate part,1,2
care,1,1
carrots,1,1
case,9,5
cast iron,1,2
cast iron pan,1,3
cause,2,1
causes,2,2
causes foods,2,4
caution,1,1
celery,1,1
cellulose,1,1
center,1,1
centre,2,1
cereals,1,1
certain classes,1,2
certain vegetables,2,4
chance,2,2
change,2,2
change oil,1,2
changes,1,1
charcoal,5,3
charcoal fires,1,2
charcoal grill,1,2
chaunk,1,1
check,1,1
cheese,1,1
cheese sandwich,1,2
chemical,1,1
cherry wood,1,2
cherry —,1,2
chicken,12,3
chicken breasts,1,2
chicken isn,1,2
chicken taste,1,2
children,1,1
chilies,1,1
chip pan,1,2
chip pan fire,2,3
chip pans,2,2
chips,1,1
chips vegetables,1,2
choice,3,3
chopsticks,2,1
chrome,1,1
chunks,1,1
cinnamon,1,1
class f,2,4
class k,2,4
clay,1,1
clay pot,3,4
clay pot cooking,2,3
clostridium botulinum,1,2
cloth,1,1
clothes,3,1
coals,5,1
coat,2,1
coating,3,3
coconut oil,2,2
coffee beans,1,2
cold smoking,1,2
color,15,7
combination,3,3
complement,1,1
completion,1,1
component,3,1
components,1,1
compounds,1,1
condensation,1,1
conditions,5,4
conduction,2,1
consistency,1,1
construction limits,1,2
contact,8,4
container,4,3
content,2,2
contrast textures,1,2
control,2,2
convection,1,1
cook,21,14
cook custard,1,2
cook foods,2,4
cook light-flavored food,1,3
cook meat,1,2
cook steak,1,2
cooker,2,1
cookery,1,1
cooking,49,17
cooking chicken,1,2
cooking cycle,1,2
cooking eggs,1,2
cooking food,4,8
cooking food doesn,1,3
cooking foods,1,2
cooking method,7,10
cooking mistake,1,2
cooking oil,2,4
cooking oil fire,1,3
cooking oil fires,2,3
cooking oil recycling,1,3
cooking period,1,2
cooking process,7,12
cooking properties,1,2
cooking results,1,2
cooking technique,4,8
cooking time,1,2
cooking times,2,4
cooking utensil,1,2
cooking vessel,1,2
cooks,4,4
cooktop,1,1
cooled oil,1,2
cornerstone,1,1
cornflour,1,1
cornstarch,2,2
cost,1,1
counter,1,1
countertop,1,1
countries,1,1
course,2,2
crab cakes fat,1,3
crack egg,1,2
crisco,1,1
crisps,1,1
croquettes,1,1
croutons,2,2
crumb,1,1
crusting,1,1
cultures,1,1
cup,2,2
curdle,1,1
cushion,1,1
custards,1,1
cuts,4,2
dampers,1,1
dangers,1,1
days,1,1
decreases,1,1
deep,2,2
deep-fat,1,1
deep-frying,2,2
deep-frying parsley,1,2
deglaze,4,4
degree,3,2
delicate foods,1,2
demi-glace,1,1
denim,1,1
denser,1,1
detergents,1,1
device,2,2
diet,1,1
difference,1,1
different,1,1
dill,1,1
dipping sauce,1,2
directions,1,1
disaster,1,1
discard,1,1
discolour,1,1
dish,8,4
disposal,2,1
dispose,1,1
distance,3,1
distribution,1,1
doing,1,1
dolbier,1,1
don,1,1
doneness,2,2
door,1,1
double-boiler,1,1
double-sided frying,1,2
double-walled oven pot,1,3
dough,1,1
drain,1,1
drawer,1,1
dress,1,1
drier,1,1
drink alcohol,1,2
drinks,1,1
drinks-wise,1,1
drip,1,1
drippings,1,1
drizzle,2,2
drop,2,2
dry,1,1
dry food,1,2
dumplings,1,1
east asia,1,2
economy,1,1
edge,3,3
edges,1,1
eel,1,1
effect,8,7
effects boiling,1,2
effort,1,1
efforts,1,1
egg,14,7
egg beater,1,2
egg protein,1,2
egg roll recipe,1,3
egg rolls,1,2
egg wash,2,4
elbows,1,1
element,3,3
ember fire,1,2
empanadas,1,1
end,9,7
end product,1,2
end restaurants,1,2
energy,2,1
english equivalent,1,2
environment,1,1
enzyme action,2,4
enzymes,1,1
europe,1,1
european ovens,1,2
evaporation,5,3
event,1,1
everything,1,1
example,5,5
example recipes,1,2
experience,2,2
extinguisher,2,1
extracts,1,1
factor,1,1
factors,1,1
fall,1,1
familiarizing,1,1
fats,1,1
feature,1,1
features,1,1
fiber,2,2
fight,2,1
filets,3,1
filter,2,1
filter oil,1,2
fingertips vaporise,1,2
fire,13,7
fire blanket,4,2
fire brigade,1,2
fire department,3,2
fire extinguisher,2,2
fire extinguishers,1,2
fire point,1,2
fire smoke,1,2
fire smoking woods,1,3
fireball,1,1
fires,5,2
firm,2,1
fish,44,24
fish bay,1,2
fish brine,1,2
fish recipe,1,2
flame heat source,1,3
flames,2,2
flare ups,1,2
flavor,25,15
flavorings,1,1
flavors,6,5
flavoured,1,1
flavoured liquor,1,2
flavouring,1,1
flavoursome liquor,1,2
flour,2,2
food,128,29
food bits,1,2
food briefly,2,4
food cook,1,2
food residue,1,2
food substances,1,2
foods flavor,1,2
form,14,9
foundation,1,1
fowl,6,2
fowl hickory —,1,3
fowl pecan —,1,3
french,3,3
french clay pot,1,3
french term,1,2
french word,1,2
frenchman,1,1
frequent,1,1
fridge,1,1
fries,4,1
frisonne,1,1
fritters,1,1
fruit,1,1
fruit juices,1,2
fruits,3,3
fruitwoods,1,1
fry,2,1
fry ingredients,1,2
fry potatoes,1,2
fryer,15,2
frying,4,3
fuel,6,3
full salt brines,1,3
furnace duct,1,2
gallon,1,1
garlic,6,3
garnish,1,1
gas,3,3
gas flame,1,2
gas ovens,1,2
gas range,1,2
gas works,1,2
gauge,1,1
gelatin,1,1
general cooking advice,1,3
germs,1,1
glass,2,2
globe,1,1
glow,1,1
gold,2,1
good,1,1
grade,1,1
grape —,1,2
gravies,1,1
grill,10,3
grill bars,1,2
grilling,20,6
grilling cooks,1,2
growth,1,1
guidelines,1,1
ham,1,1
ham mesquite —,1,3
hams,1,1
hand,2,2
handling,1,1
hands,2,1
hardwoods,1,1
hazard,1,1
health purposes,1,2
heat,41,14
heat cooking,1,2
heat source,10,4
heat sources,2,2
heat sources gas,1,3
heating,1,1
heating element,1,2
heating element cooks,1,3
heavy-bottomed,1,1
heavy-flavored foods,1,2
herbs,4,3
hickory,1,1
high-heat baking,1,2
high-heat cooking process,1,3
history,1,1
hole,3,3
holiday,1,1
hot dogs,1,2
hotplate,1,1
hour,2,1
hours,2,2
house,1,1
house fires,1,2
humidity,1,1
ice crystals,1,2
ice water,1,2
igniting,1,1
immersing,1,1
immersing food,1,2
immersion,1,1
immersion cooker,3,4
immersion cooker temperature,1,3
immersion cooking,1,2
increase,3,2
indian dishes,1,2
indian usage,1,2
indirect heat,1,2
influence,1,1
infra-red,1,1
infra-red heat radiation,1,3
infra-red radiation,1,2
infra-red radiation works,1,3
infra-red waves,2,4
ingredient,3,3
ingredients,8,6
instance,1,1
instances meats,1,2
instant,1,1
insure,1,1
integral part,1,2
interchangeably,1,1
introduction,1,1
isn,1,1
issues,1,1
item,1,1
items need,1,2
japan forks,1,2
japanese oil solidifier,1,3
jar,2,2
jars,1,2
jelly roll pan,1,3
joints,1,1
juice,3,2
juices,1,1
jus,1,1
kettle,1,1
kind,1,1
kindling point,1,2
kitchen,3,3
kitchen fires,1,2
kitchen paper,1,2
lake trout,1,2
lamb,1,1
lard,1,1
layer,1,1
leached,1,1
least,1,1
lemon,1,1
length,1,1
liberates,1,1
lid,11,6
light,2,2
light bulb,1,2
light ones,1,2
lint,1,1
locations,1,1
loss,5,4
low-heat cooking process,1,3
maillard reaction,3,6
majority,1,1
manipulation,1,1
many,1,1
many pathogens,1,2
many recipes,1,2
many variations,1,2
maple,1,1
margarine,1,1
marinade,2,2
marinated meats,1,2
marlin,1,1
material,1,1
materials smoker,1,2
matrix,1,1
mayonnaise,1,1
measure oil,1,2
measures,1,1
meat,32,12
meat doesn,1,2
meat juices,1,2
meat returns,1,2
meat stock,1,2
meats,13,7
meats peach —,1,3
mechanics,1,1
mechanism,1,1
medium,3,2
medium heat,1,2
medium-high,1,1
medium-high heat,1,2
mediums,1,1
melting-point alloy,1,2
membrane,1,1
mesquite,1,1
metal,2,1
metal mesh,2,2
metal pan,1,2
metal range hood,1,3
metal tubing,1,2
metal utensils,1,2
method,18,13
method deep,1,2
method works,1,2
microwave,2,2
microwave radiation,1,2
middle,2,2
milk,7,2
milk containers,1,2
milk products,1,2
milk proteins,1,2
minced mixtures,1,2
mind,1,1
mineral salts,1,2
minute,6,5
misconceptions,1,1
mise,1,1
misnomer,1,1
mix,2,2
modernist  ,2,5
modification,1,1
moistness,1,1
moisture,11,5
moisture content,1,2
molasses,1,1
monitor,2,2
months,1,1
move,1,1
moves gently--never,1,2
mushrooms grill,1,2
muslin,1,1
napkins,1,1
need,2,2
next time,1,2
non-deep,1,1
non-stick  ,2,4
none,1,1
noodles,1,1
not,1,1
number,2,2
nutmeg,1,1
nutrients,1,1
nuts,1,1
oak,1,1
object,3,2
odor,2,2
oil,83,33
oil cause splatters,1,3
oil changes,1,2
oil content,1,2
oil coverage,1,2
oil disposal,1,2
oil ejects,1,2
oil fire,2,4
old timers,1,2
ones form,1,2
onion,7,4
onion family,1,2
operation,1,1
optionally,1,1
optionally pepper,1,2
order,3,3
other meanings,1,2
other sealing methods,1,3
others,1,1
others claim,1,2
outcome,2,2
oven,9,8
oven temperature,2,4
oven-proof pots,1,2
over-cooking,1,1
over-filled,1,1
overcrowding,1,1
oysters poultry,1,2
pair,1,1
pan,31,13
pan bottom,2,4
pan deep fryers,1,3
pan drippings,1,2
pan sauce,4,4
pan-searing,1,1
paper salt,1,2
paper towel,1,2
parboiling,4,3
parsley,1,1
part,1,1
parts,4,4
pasteurization,1,1
pastries,2,1
pat,1,1
path,1,1
peak times,1,2
peanut oil,1,2
peas,1,1
pellicles form,1,2
pellicles formation,1,2
people,1,1
pepper,1,1
peppermint,1,1
performance,1,1
period,3,3
person,3,2
piece,1,1
pieces,6,5
pieces briefly,1,2
pilot,1,1
pin,2,2
pipe,2,1
pipes,1,1
place,11,5
place egg,1,2
plastic,1,1
plastic bag,1,2
plate,2,1
plug,1,1
poaching,1,1
point,10,4
point increases,1,2
points,1,1
pollo baked lamb,1,3
pork,2,1
pork ribs,1,2
portions,1,1
position,1,1
pot,9,5
potatoes,5,4
poultry,5,2
poultry cedar,1,2
powder,1,1
pre-cooking,1,1
pre-cut,1,1
pre-heat,1,1
preference,1,1
preheat,1,1
preheated,1,1
preparations,1,1
prepare,1,1
preservation qualities,1,2
pressure,9,2
pressure cooker,4,4
pressure cooking,1,2
pressure increases,1,2
price points,1,2
principle,2,2
procedure,1,1
process,13,8
process smoking,1,2
product,10,4
products,1,1
propane,1,1
propane fires,1,2
proper technique,1,2
protein,1,1
proteins refold,1,2
pudding mixtures,1,2
pungency,1,1
purpose,4,6
purposes,2,2
pushpin,1,1
quality,2,2
quality thermometer,1,2
quantity,6,4
question,1,1
rack,2,1
racks,1,1
radiation,1,1
range,6,2
ranges,2,2
rapidity,1,1
rate,2,2
rays spread,1,2
reason,3,2
reason syrups,1,2
reboiling,1,1
recipe,14,14
reduction,1,1
refridgerate,1,1
refrigerate,1,1
refrigerating,1,1
refrigeration,2,2
refrigerator,1,1
release,1,1
release mechanism,1,2
release steam,1,2
releases,1,1
relevent cooking chemistry,1,3
requirement,1,1
residue,1,1
rest,2,2
restaurant,1,1
result,9,8
results,8,3
return,2,2
rice,1,1
rice bran oil,1,3
right temperature,1,2
rinse,2,1
rise,5,3
roast,2,2
roast potatoes,1,2
roasted foods,1,2
roasting,7,5
roasting environment,1,2
roasting temperature,1,2
roasts,2,2
roman times,1,2
room radiator,1,2
rosemary,1,1
round ones,1,2
roux,2,1
rub,1,1
rubber ring seal,1,3
rubber seal,1,2
rule,2,2
safety,3,5
safety chip pans,1,3
salad,1,1
salt,9,5
samosas dough,1,2
sampling,1,1
sandwich cooking device,1,3
sanitation,1,1
saris,1,1
sauce,11,6
sauce whisking,1,2
saucepan,1,1
sauces,1,2
saute,14,13
saute ,1,1
scalding,1,1
scallops,1,1
scoop,3,3
scorch,1,1
scorched milk,1,2
scrape,1,1
scrubbing,1,1
scum,1,1
sea level,1,2
seafood,2,2
seal,1,1
sealing,2,1
sealing food,1,2
seasoning,1,1
seasoning flavor,1,2
seaweed — sharp,1,3
seconds,1,1
sectioned steaks,1,2
self basting process,1,3
sense,1,1
service,1,1
sesame,1,1
sewers problems,1,2
shallots,1,1
shape,2,2
shelf life,1,2
shell,2,1
shelving,1,1
shirring,1,1
shirt,1,1
shirts,1,1
shrimp,2,1
side,3,3
sides,3,2
simmering,1,1
simulation,1,1
situations,1,1
size,3,2
skillet,1,1
skin,5,3
skins,2,2
slice,1,1
slices,1,1
slope-sided pan,1,2
smell,1,1
smoke point,4,2
smokey fire,1,2
smoking,51,22
smoking point,1,2
soaps,1,1
solids,2,1
solution,1,1
something,2,2
soogy foods,1,2
sort,1,1
sound,1,1
soup,1,1
source,1,1
sous-vide,4,5
soy sauce,1,2
space,1,1
spatters,1,1
speed,1,1
spices,5,4
spider,1,1
spirits,1,1
spit-roasting,1,1
splash,1,1
splatter ,2,2
spoon,5,4
spots,1,1
spring,1,1
square bumps,1,2
squid,1,1
stacks,1,1
stage,3,3
starch,2,2
steak,2,1
steak condition,1,2
steaks,3,2
steam,13,9
steam pressure,1,2
steamer,3,2
steel,2,1
steel container,1,2
step,5,3
stew,4,1
stewing,4,2
stewing meats,1,2
stewing vessel,1,2
stews,1,1
stir-fried,2,2
stir-frying,6,3
stir-frying sautéing,1,2
stock,7,5
stopper,1,1
storage,6,8
stove,2,2
streamers,1,1
style barbecue,1,2
substances,3,2
such,1,1
suckers,1,1
sugar,7,7
suggestions,2,2
summer,1,1
sun,2,1
sunlight,1,1
surface,16,5
surface evaporation,1,2
surfaces,1,1
suspension,1,1
sweetbread,1,1
sweeteners,1,1
system,1,1
table,1,1
tadka,1,1
tadka dhal,1,2
tannic,1,1
task,1,1
taste,4,4
tea,1,1
tea bag,1,2
tea strainer,1,2
technique,24,10
temperature,57,33
tempura,2,1
tendency,2,2
tender,8,8
term,6,5
texture,3,3
thaw,1,1
thermometer,5,5
thickness,3,2
thing,1,1
threat,2,1
thumb,1,1
tight-fitting,1,1
time,20,13
timing,2,3
tip,1,1
tips,6,6
tissue,1,1
tissues,1,1
toast,1,1
tomatoes,3,3
tongs,1,1
tool,4,4
tortilla chips,1,2
touch,2,2
tough cuts,1,2
tough vegetables,1,2
trade,1,1
transfer heat,1,2
tray,1,1
tree,1,1
trivet,1,1
trust,1,1
turkey,3,1
turkey fryer,1,2
turnips,1,1
twinkies,1,1
type,2,2
types,4,4
uk,1,1
un-rested meat,1,2
uncooked side,1,2
under-cooked,1,1
unglazed clay pot,2,3
unit,1,1
united states,2,4
use,40,13
use cornmeal,1,2
use steel,1,2
use utensils,1,2
use water,1,2
usefulness,1,1
utensil,1,1
utilize draft control,1,3
vaccum,1,1
vaccum sealing,1,2
value,2,2
vaporizes,1,1
variation,4,6
variety,2,2
veal escalopes,1,2
vegetable,23,14
vegetables,1,2
veloute sauce,1,2
versions,1,1
vessel,7,4
vin eggplant,1,2
vinegar,1,1
waffle iron,1,2
walls,2,2
warning,3,5
wash,1,1
wastes fuel,1,2
watch,1,1
water,63,14
water bath,3,2
water briefly,1,2
water container,1,2
water heater,1,2
water hisses,1,2
water oven,2,2
water treatment plants,1,3
way,11,9
weather,1,1
web sites,1,2
wedge,1,1
week,2,2
whey separation,1,2
whisk,1,1
wine,6,7
winter,1,1
wire,2,3
wok,8,1
wood,9,4
word,1,1
work,4,3
world,1,1
yogurt,5,6
